n_places;milliseconds;milliseconds_n_at_once;valid_transitions
10;62.2049;62.2278;1
10;41.1837;41.1472;3
10;72.7598;65.395;12
10;61.9347;60.3721;5
10;48.0442;48.0314;7
10;41.5088;42.2658;6
10;54.2949;54.3082;2
10;59.7062;83.3678;2
10;49.8332;48.7218;0
10;92.2688;100.062;5
10;46.5139;42.0975;6
10;46.5923;47.8463;0
10;86.4694;86.3392;2
10;47.6028;52.4123;0
10;53.2012;53.1699;4
10;45.1931;47.5881;0
10;69.595;69.5866;4
10;34.713;34.6449;4
10;55.4117;90.6742;3
10;70.7148;70.756;9
10;50.4054;48.4935;0
10;56.1087;56.1248;9
10;45.7013;47.3355;0
10;50.0523;50.0477;9
10;171.207;75.9456;1
10;35.5565;35.4648;3
10;58.2807;58.2562;5
10;50.128;50.0383;6
10;52.2975;63.9922;10
10;50.7915;50.7796;3
10;56.7601;56.8168;11
10;51.1804;42.5893;0
10;77.7999;73.4896;5
10;42.1469;42.0958;7
10;49.9492;49.8638;25
10;43.4181;44.5402;10
10;183.167;104.64;0
10;46.2998;45.0056;2
10;50.487;49.4123;0
10;55.1422;87.9811;5
10;51.0133;47.6819;0
10;48.0428;50.2116;8
10;52.6743;52.5902;4
10;46.4564;46.4273;3
10;52.8734;52.8478;5
10;57.1542;57.7368;5
10;55.8026;55.7439;7
10;93.6259;92.7832;7
10;47.7419;53.1735;0
10;44.2624;43.9201;17
10;45.7068;45.6923;8
10;111.396;159.217;4
10;70.6929;70.7219;3
10;50.3543;50.3194;9
10;55.2462;75.5935;5
10;54.9148;54.9133;10
10;69.8193;57.941;5
10;63.1778;63.1369;9
10;63.4332;63.4332;4
10;47.2668;48.2296;6
10;78.0681;80.2598;16
10;59.6019;59.5833;2
10;39.8862;39.8509;0
10;39.7704;39.7102;4
10;43.2864;43.2559;31
10;80.3692;79.3724;13
10;63.0669;62.9862;8
10;58.3037;58.4577;7
10;54.7433;54.7125;6
10;59.9828;59.9638;9
10;40.3588;45.0521;0
10;55.3806;61.0717;6
10;49.3549;49.2609;11
10;76.1932;76.2458;3
10;39.681;60.4126;0
10;43.4894;43.5013;8
10;60.4959;55.5143;3
10;65.1538;65.0899;4
10;48.3235;48.2799;2
10;48.687;48.6622;14
10;89.4731;133.105;0
10;57.2807;46.2197;0
10;46.5747;46.5256;9
10;56.5708;56.5919;6
10;53.0768;51.7282;10
10;44.287;38.8575;1
10;78.9128;77.3066;0
10;48.436;48.3534;2
10;77.5082;71.0096;11
10;61.4775;61.4665;11
10;47.2399;47.2109;4
10;81.0902;77.1281;5
10;44.2093;44.1624;21
10;49.4314;49.4156;10
10;44.9544;58.0276;0
10;147.023;144.674;7
10;47.4163;47.443;10
10;46.6118;46.5941;14
10;41.1054;42.4718;5
10;52.9784;52.9403;0
11;46.4245;46.3947;6
11;91.5267;81.5473;3
11;66.243;66.1765;18
11;59.1515;59.1022;11
11;56.1468;56.0891;12
11;65.8252;61.6284;1
11;58.3057;57.5784;9
11;50.2129;51.9307;10
11;52.2042;53.8381;8
11;60.7348;60.6791;9
11;52.3793;52.384;11
11;47.1932;47.228;17
11;48.4898;49.2129;9
11;48.6563;48.6709;4
11;73.1728;73.2006;4
11;118.769;114.313;5
11;74.9841;76.1842;4
11;59.5461;60.8537;10
11;39.3108;39.2544;3
11;63.9252;72.185;1
