n_places;milliseconds;valid_transitions
10;56.6161;4
10;62.8243;0
10;104.293;1
10;74.1385;3
10;61.5566;0
10;56.2227;0
10;42.2275;8
10;58.0438;4
10;83.322;6
10;246.42;1
10;54.7732;2
10;116.553;20
10;138.786;3
10;62.0697;0
10;59.2026;3
10;126.549;2
10;62.0576;0
10;61.261;0
10;57.118;9
10;61.4006;0
10;61.7839;0
10;190.164;3
10;246.668;3
10;57.9594;0
10;318.294;6
10;62.1583;0
10;54.1912;2
10;60.2665;0
10;59.8082;2
10;48.6507;8
10;55.3313;2
10;60.6587;0
10;65.1362;0
10;72.0543;3
10;50.8883;1
10;72.8952;7
10;53.501;10
10;57.7161;1
10;90.9337;2
10;64.9448;6
10;118.597;5
10;63.1758;0
10;55.2056;6
10;58.4682;31
10;62.0297;10
10;64.1465;0
10;65.1133;0
10;64.0387;0
10;64.0765;0
10;63.7385;0
10;44.175;13
10;46.7925;7
10;63.3354;3
10;195.161;0
10;60.4687;0
10;65.15;0
10;63.7662;0
10;60.4308;0
10;60.0713;0
10;62.7078;0
10;47.1299;5
10;31.4455;5
10;75.4177;0
10;64.1342;0
10;352.876;8
10;49.6448;17
10;106.68;0
10;59.9361;0
10;52.5258;10
10;65.0683;0
10;62.1636;0
10;52.2391;4
10;59.0848;30
10;62.1767;0
10;116.638;2
10;64.7804;0
10;64.4316;0
10;132.538;6
10;102.412;0
10;43.5389;12
10;62.8969;0
10;64.2007;0
10;88.6961;2
10;61.526;0
10;192.185;7
10;61.7401;0
10;63.9009;0
10;60.3603;8
10;62.4312;0
10;112.28;14
10;46.523;1
10;221.206;4
10;171.054;1
10;64.0704;0
10;63.3714;0
10;101.94;5
10;63.7529;0
10;60.1306;0
10;60.573;6
10;464.03;3
11;62.283;0
11;70.841;0
11;69.7862;0
11;51.4566;2
11;68.781;0
11;132.97;3
11;69.5114;0
11;60.6638;1
11;102.893;0
11;59.2799;2
11;46.2405;15
11;668.572;2
11;45.7379;16
11;70.8471;0
11;66.6552;0
11;66.0364;0
11;67.1612;0
11;64.0467;0
11;65.763;0
11;70.3257;0
11;161.264;1
11;66.0677;0
11;68.2757;0
11;70.4139;0
11;69.1933;0
11;110.981;1
11;69.7076;0
11;52.486;10
11;67.2987;0
11;69.4986;0
11;78.2489;0
11;41.1454;4
11;69.2045;0
11;144.854;1
11;73.0197;2
11;67.2552;0
11;68.3752;0
11;70.7266;0
11;69.548;0
11;68.0765;0
11;50.664;24
11;68.4586;0
11;514.279;4
11;66.373;0
11;64.0227;1
11;67.2903;0
11;71.1827;0
11;959.011;0
11;66.842;0
11;66.635;0
11;67.1886;0
11;38.9631;1
11;46.8379;6
11;157.494;17
11;61.6672;0
11;59.9667;3
11;68.3168;0
11;151.241;0
11;66.3673;0
11;65.0257;0
11;52.4194;2
11;70.5146;0
11;66.9893;0
11;69.7011;0
11;66.5636;0
11;69.0952;0
11;68.5756;2
11;45.696;4
11;319.693;1
11;68.4341;0
11;1280.63;0
11;86.3387;3
11;124.07;2
11;66.5868;0
11;66.9174;0
11;50.4165;11
11;58.8354;1
11;107.687;1
11;78.7681;4
11;174.227;12
11;67.2131;0
11;68.2616;0
11;56.3909;9
11;42.166;8
11;56.5064;4
11;83.7427;8
11;50.0962;7
11;769.975;4
11;38.265;19
11;62.2107;2
11;69.6138;0
11;66.6262;0
11;66.8662;0
11;43.563;5
11;62.997;3
11;65.1581;0
11;66.0148;0
11;66.913;0
11;59.8286;9
11;65.7345;0
12;46.7449;15
12;49.3732;1
12;80.6947;0
12;90.0378;5
12;80.6381;0
12;80.5486;0
12;75.9209;4
12;66.0774;5
12;53.056;3
12;88.3567;1
12;80.8553;0
12;67.0704;0
12;465.053;4
12;64.6332;0
12;59.0799;3
12;62.0569;10
12;68.1114;0
12;62.1257;7
12;311.211;5
12;65.6451;0
12;80.7329;0
12;67.0555;0
12;99.3507;2
12;80.7938;0
12;80.4659;0
12;1217.57;1
12;255.608;0
12;80.5734;0
12;66.3623;3
12;230.991;2
12;500.023;0
12;80.4551;0
12;80.5622;0
12;80.6194;0
12;61.7629;2
12;63.5175;3
12;66.2626;13
12;80.5116;0
12;71.1304;5
12;80.582;0
12;212.683;2
12;60.4915;4
12;64.5731;2
12;80.7197;0
12;976.626;3
12;407.165;2
12;61.7216;3
12;128.989;2
12;189.109;4
12;342.619;0
