n_places;milliseconds;valid_transitions
10;74.5432;0
10;73.2468;0
10;382.253;18
10;77.9414;0
10;390.013;1
10;282.839;4
10;56.2411;6
10;56.9333;11
10;71.705;0
10;70.0444;0
10;59.3186;5
10;71.3265;0
10;58.8728;3
10;37.66;3
10;50.5765;8
10;63.2695;0
10;762.572;6
10;74.7764;0
10;58.4528;14
10;322.162;10
10;56.597;2
10;57.2139;3
10;72.6519;0
10;112.716;1
10;63.6829;23
10;70.2394;0
10;56.501;29
10;72.706;0
10;74.0284;0
10;64.8671;0
10;196.133;1
10;64.8806;3
10;57.1648;1
10;77.9691;2
10;72.1858;0
10;73.3801;0
10;73.1739;0
10;70.3145;0
10;67.2885;0
10;72.3428;0
10;71.411;0
10;51.1739;2
10;130.344;1
10;70.6684;0
10;73.7856;0
10;72.0415;0
10;74.0815;0
10;56.5887;1
10;68.7236;0
10;54.4477;4
10;95.7304;6
10;46.9274;0
10;104.528;3
10;72.6051;0
10;48.0657;3
10;47.6294;1
10;68.7594;12
10;782.542;0
10;55.816;8
10;77.4248;0
10;125.525;0
10;67.2934;0
10;70.2298;0
10;57.6568;12
10;57.4558;1
10;62.8103;3
10;45.4586;3
10;173.615;15
10;456.332;4
10;70.6917;0
10;67.1928;0
10;55.7601;4
10;71.2177;0
10;65.9827;0
10;71.6592;0
10;56.4377;3
10;70.1687;7
10;76.2131;0
10;69.3054;0
10;47.8671;6
10;75.499;0
10;521.193;1
10;70.8738;0
10;70.2121;0
10;53.6756;5
10;75.3319;0
10;186.147;1
10;55.7491;8
10;42.5646;5
10;41.1053;1
10;392.243;9
10;42.4122;5
10;56.8857;27
10;68.2198;0
10;65.0033;0
10;71.927;0
10;251.837;0
10;75.4429;0
10;567.571;2
10;58.4083;3
11;80.8005;0
11;78.7423;0
11;268.689;8
11;235.35;2
11;98.594;2
11;664.137;0
11;161.21;6
11;121.786;10
11;450.077;1
11;285.523;0
11;77.4438;0
11;38.2741;4
11;452.505;4
11;73.9003;0
11;58.1245;4
11;77.7542;0
