n_places;milliseconds;valid_transitions
10;202.466;4
10;91.2378;4
10;95.342;1
10;102.131;8
10;342.729;2
10;139.167;2
10;85.9237;4
10;230.336;4
10;85.7026;7
10;57.6604;6
10;81.0004;2
10;73.0994;3
10;293.157;0
10;59.082;6
10;88.8763;2
10;75.4097;4
10;69.9661;4
10;72.9427;1
10;217.264;0
10;83.314;1
10;73.9254;2
10;64.6649;2
10;136.532;1
10;75.9165;3
10;82.1854;0
10;47.0594;4
10;122.679;0
10;97.2588;4
10;41.2673;1
10;109.09;3
10;85.6723;1
10;84.6584;3
10;91.7196;1
10;82.7208;5
10;100.934;5
10;75.0706;3
10;160.481;4
10;135.236;0
10;87.5981;7
10;152.184;3
10;236.571;5
10;110.289;6
10;98.1179;1
10;110.697;1
10;146.289;2
10;64.6404;2
10;100.626;2
10;158.285;1
10;180.131;5
10;212.099;2
10;74.8757;0
10;249.918;2
10;113.642;2
10;214.896;4
10;78.2319;4
10;123.415;1
10;119.926;2
10;56.369;6
10;70.8786;5
10;77.8263;2
10;215.004;0
10;44.7008;4
10;71.1509;5
10;71.0229;2
10;50.512;1
10;121.036;2
10;276.518;2
10;81.7469;2
10;79.887;6
10;97.7475;1
10;179.384;3
10;74.7657;1
10;67.776;7
10;86.7943;1
10;586.698;2
10;76.6839;8
10;72.8845;5
10;115.768;3
10;76.6024;6
10;447.496;1
10;76.387;5
10;80.26;3
10;95.3608;2
10;171.767;5
10;94.698;4
10;222.403;4
10;90.0971;5
10;66.2958;7
10;80.769;4
10;886.181;4
10;117.3;4
10;65.9794;2
10;62.1175;2
10;70.5703;4
10;178.632;3
10;232.865;3
10;334.425;3
10;88.4125;9
10;141.091;4
10;87.5955;0
11;78.4703;7
11;412.155;3
11;72.3146;1
11;108.688;5
11;182.637;3
11;78.9937;4
11;149.793;1
11;121.865;5
11;72.1667;6
11;91.2596;4
11;103.005;3
11;72.1583;0
11;70.0152;2
11;105.054;2
11;78.0021;3
11;88.7;8
11;70.8151;6
11;514.867;0
11;79.846;3
11;82.8658;6
11;47.1282;2
11;96.9396;3
11;171.801;5
11;91.3108;4
11;54.1691;3
11;105.434;5
11;109.094;4
11;155.963;3
11;60.4928;4
11;125.111;2
11;77.1179;3
11;91.2696;5
11;73.2422;9
11;88.9255;7
11;361.533;3
11;101.798;7
11;95.5502;4
11;75.8481;9
11;73.3521;3
11;92.9627;6
11;69.1637;5
11;89.6361;1
11;95.3028;8
11;61.5901;7
11;78.8036;4
11;261.176;5
11;80.4807;1
11;184.072;6
11;150.361;4
11;832.076;3
11;263.669;3
11;74.2094;7
11;70.822;2
11;70.6919;5
11;76.1963;1
11;125.783;1
11;190.431;3
11;162.359;4
11;126.645;2
11;577.597;7
11;143.339;4
11;91.5095;4
11;177.195;5
11;262.668;3
11;1457.43;1
11;75.8969;1
11;99.6884;6
11;1087.7;5
11;90.7911;5
11;82.1172;4
11;98.7589;7
11;345.087;0
11;216.627;1
11;100.912;1
11;83.0375;6
11;110.284;2
11;84.3285;6
11;67.1514;2
11;316.493;4
11;93.5851;4
11;75.7614;11
11;76.392;6
11;48.9034;0
11;140.484;2
11;93.05;2
11;135.443;3
11;115.781;1
11;83.3522;8
11;77.015;1
11;119.47;5
11;179.674;7
11;81.3445;2
11;69.2179;5
11;82.741;9
11;188.445;5
11;74.5133;7
11;109.603;8
11;144.107;4
11;85.0255;8
11;65.8403;6
12;188.682;1
12;90.5987;0
12;1188.35;1
12;145.026;3
12;77.6237;7
12;169.095;4
12;82.165;1
12;186.806;7
12;73.6189;1
12;144.756;7
12;121.072;4
12;128.566;7
12;379.145;2
12;94.433;5
12;99.473;2
12;353.435;0
12;93.1267;6
12;86.7377;5
12;360.74;0
12;127.745;5
12;281.387;3
12;91.4694;4
12;168.796;4
12;105.198;3
12;103.023;4
12;188.367;6
12;97.1641;6
12;87.952;7
12;92.401;9
12;102.97;8
12;886.527;3
12;112.312;2
12;241.927;5
12;62.7098;2
12;100.188;4
12;134.325;4
12;83.4999;3
12;149.288;5
12;89.1534;4
12;329.493;5
12;81.3395;2
12;79.1531;7
12;718.399;3
12;108.98;4
12;99.1437;5
12;161.532;3
12;81.7649;7
12;84.5132;6
12;105.389;6
12;95.1056;3
12;121.467;4
12;105.21;3
12;80.3249;4
12;235.925;2
12;75.0359;2
12;242.101;2
12;98.8441;7
12;61.9626;5
12;186.435;3
12;196.001;8
12;116.433;3
12;111.418;2
12;146.941;2
12;159.992;6
12;79.0881;1
12;670.788;0
12;99.2412;2
12;105.422;8
12;206.941;3
12;116.368;2
12;151.206;6
12;88.6417;5
12;72.4895;4
12;99.5635;5
12;146.888;4
12;119.912;2
12;93.721;3
12;88.5654;5
12;71.2341;5
12;119.33;5
12;140.563;3
12;283.37;2
12;67.4576;7
12;979.101;1
12;161.081;6
12;202.443;9
12;447.1;0
12;596.77;0
12;142.078;5
12;228.829;3
12;96.1732;2
12;81.2476;5
12;120.544;3
12;77.397;3
12;86.2146;6
12;248.149;4
12;102.969;3
12;112.346;3
12;74.9959;4
12;851.042;3
13;201.213;12
13;107.665;6
13;98.7783;3
13;344.662;2
13;127.715;3
13;117.685;7
13;87.7957;7
13;393.748;9
13;134.624;2
13;279.014;1
13;134.024;7
13;124.995;5
13;93.5376;2
13;93.7237;9
13;82.8897;6
13;57.591;0
13;152.354;6
13;599.667;1
13;986.593;4
13;90.6989;7
13;211.178;1
13;109.397;9
13;61.3672;6
13;397.09;9
13;238.366;7
13;85.5029;5
13;277.86;0
13;96.3262;3
13;94.1932;10
13;964.143;9
13;679.409;0
13;88.9099;5
13;353.037;5
13;76.0352;1
13;561.413;4
13;87.8723;1
13;84.2661;2
13;80.2934;3
13;164.775;2
13;99.8173;5
13;119.976;8
13;544.232;2
13;120.068;1
13;60.8258;0
13;94.4475;5
13;214.374;3
13;523.1;7
13;102.102;6
13;83.8902;1
13;148.912;3
13;93.9902;3
13;263.992;1
13;58.84;1
13;102.06;6
13;119.604;6
13;123.202;7
13;334.643;3
13;562.262;2
13;92.4786;4
13;225.523;6
13;1377.9;2
13;185.291;3
13;158.321;0
13;164.969;7
13;2157.01;1
13;138.524;4
13;293.479;3
13;365.464;9
13;68.9735;1
13;661.037;5
13;666.945;4
13;488.858;6
13;74.5754;3
13;579.675;5
13;1064.18;4
13;131.797;4
13;155.53;3
13;101.202;6
13;1610.73;1
13;181.119;7
13;79.3927;5
13;102.957;6
13;237.325;1
13;637.028;3
13;85.6192;5
13;107.227;7
13;86.6038;3
13;59.1082;4
13;98.1436;5
13;176.894;7
13;100.036;6
13;84.434;6
13;108.386;6
13;92.3932;4
13;111.511;2
13;98.8288;1
13;99.8941;6
13;96.5397;9
13;712.717;1
13;212.897;11
14;155.228;3
14;88.5544;1
14;104.31;6
14;121.342;4
14;144.306;4
14;99.6553;9
14;125.285;7
14;115.615;4
14;134.239;6
14;325.667;2
14;111.77;4
14;78.8376;6
14;110.489;6
14;83.6462;4
14;193.75;0
14;187.044;4
14;4108.65;2
14;142.892;5
14;231.87;6
14;211.68;3
14;589.518;1
14;1283.59;7
14;376.42;4
14;110.059;4
14;5751.86;3
14;402.13;3
14;207.34;5
14;132.565;3
14;175.193;5
14;554.086;5
14;151.791;5
14;252.283;7
14;2194.12;7
14;96.1982;6
14;105.397;4
14;1425.29;2
14;204.574;1
14;97.528;6
14;107.862;10
14;158.854;7
14;119.101;5
14;339.653;8
14;1863.99;2
14;907.647;3
14;332.418;1
14;453.017;0
14;84.3625;7
14;387.826;7
14;656.645;4
14;76.0838;7
14;314.029;1
14;85.3749;4
14;86.9124;4
14;85.5802;2
14;105.511;1
14;262.851;3
14;116.736;8
14;129.807;3
14;121.42;4
14;628.563;3
14;111.039;6
14;282.282;2
14;536.517;3
14;133.085;3
14;539.81;4
14;1195.88;9
14;84.2692;1
14;108.956;5
14;129.476;2
14;134.771;8
14;95.2895;5
14;156.501;7
14;127.051;4
14;100.249;9
14;173.353;4
14;76.1922;2
14;124.193;6
14;78.1254;3
14;83.2302;6
14;796.823;6
14;110.213;1
14;5447.18;5
14;109.926;1
14;74.9084;1
14;100.546;4
14;170.839;4
14;119.383;5
14;889.536;4
14;72.1319;7
14;498.074;6
14;289.101;8
14;78.6024;8
14;109.795;2
14;106.228;15
14;1134.39;8
14;310.961;6
14;583.692;3
14;94.8742;11
14;133.322;3
14;88.4984;8
15;4633.14;1
15;131.432;7
15;3249.15;3
15;115.088;3
15;701.285;5
15;3292.88;2
15;97.6203;1
15;378.047;0
15;107.719;4
15;220.026;8
15;125.09;10
15;74.6104;5
15;90.5928;1
15;1498.62;4
15;166.871;3
15;107.687;4
15;100.596;11
15;152.646;10
15;155.225;3
15;105.634;4
15;1152.99;9
15;69.9181;4
15;547.164;3
15;109.432;7
15;119.986;4
15;142.443;7
15;129.222;6
15;147.309;9
15;3352.81;6
15;87.1588;10
15;134.353;12
15;144.223;5
15;7105.23;1
15;254.184;0
15;128.828;7
15;130.312;6
15;88.4942;3
15;94.2505;2
15;159.726;3
15;465.293;1
15;3787.9;2
15;717.429;3
15;122.073;5
15;417.917;5
15;73.2206;10
15;113.774;9
15;296.674;8
15;93.5253;8
15;646.391;5
15;940.874;4
15;6597.08;2
15;708.676;2
15;2185.56;5
15;94.5514;5
15;94.5271;10
15;613.988;9
15;109.461;8
15;927.616;3
15;174.775;2
15;136.339;13
15;959.543;6
15;97.5028;10
15;91.2877;6
15;118.253;6
15;510.1;4
15;442.693;5
15;1154.23;2
15;116.906;11
15;239.512;6
15;111.458;8
15;12681.8;3
15;688.253;6
15;392.717;8
15;2367.12;6
15;113.4;10
15;234.872;4
15;77.6635;7
15;885.515;5
15;1727.45;3
15;112.163;9
15;1473.32;5
15;96.2287;6
15;400.89;7
15;188.513;6
15;738.435;6
15;87.7176;5
15;113.136;4
15;141.988;7
15;111.384;3
15;200.528;3
15;550.712;3
15;74.0105;4
15;200.959;4
15;93.0185;5
15;74.3531;6
15;12072.4;2
15;85.9959;11
15;975.076;4
15;84.9222;10
15;99.8076;0
16;481.761;2
16;237.079;7
16;187.437;4
16;976.471;6
16;160.361;3
16;323.522;10
16;245.676;5
16;112.992;7
16;208.297;7
16;474.22;4
16;88.2388;4
16;852.926;6
16;2888.33;4
16;142.713;7
16;177.348;7
16;110.205;6
16;174.237;5
16;142.983;6
16;142.796;7
16;1471.21;7
16;136.563;7
16;109.119;6
16;153.516;3
16;444.891;7
16;136.002;6
16;123.396;4
16;107.514;6
16;318.026;9
16;613.769;8
16;99.8978;10
16;123.886;3
16;128.721;4
16;84.6229;6
16;133.811;4
16;158.426;10
16;113.549;5
16;102.987;4
16;102.932;7
16;732.77;2
16;2328.12;5
16;210.171;3
16;162.798;4
16;247.837;4
16;291.137;7
16;183.811;5
16;2250.58;2
16;94.1262;7
16;167.35;6
16;108.933;6
16;575.963;3
16;1072.8;8
16;102.473;5
16;133.906;7
16;211.621;5
16;101.724;2
16;652.025;9
16;20647.3;7
16;623.821;10
16;143.766;12
16;98.2156;10
16;324.178;6
16;258.636;7
16;164.277;10
16;771.093;6
16;888.119;9
16;5487.8;8
16;113.234;8
16;131.496;10
16;87.1465;4
16;106.109;10
16;7480.27;6
16;1232.87;1
16;109.439;7
16;139.691;10
16;109.039;0
16;180.972;4
16;656.812;1
16;129.223;11
16;2891.87;4
16;285.077;7
16;508.775;2
16;622.522;7
16;271.975;8
16;115.537;8
16;807.324;2
16;1479.91;3
16;151.542;8
16;5905.57;2
16;1450.55;1
16;15644.3;2
16;101.848;8
16;158.922;5
16;678.005;5
16;105.688;8
16;113.714;7
16;152.9;2
16;196.634;7
16;306.662;6
16;101.981;4
16;1192.16;1
17;134.266;5
17;135.624;8
17;106.453;6
17;89.2796;11
17;195.989;4
17;51082.8;2
17;3929.83;5
17;135.591;8
17;140.52;11
17;136.805;4
17;223.182;5
17;128.791;3
17;9997.64;6
17;2931.58;2
17;105.163;7
17;141.414;9
17;4006.09;4
17;3776.45;6
17;443.854;9
17;440.042;7
17;343.121;5
17;222.121;7
17;925.045;1
17;127.69;7
17;106.996;7
17;95.2127;8
17;293.748;3
17;1460.34;12
17;143.106;12
17;220.917;6
17;1821.65;4
17;87.2608;6
17;757.758;4
17;129.685;2
17;150.021;9
17;26244.9;7
17;1105.71;10
17;129.914;6
17;117.323;6
17;1298.35;0
17;82175.4;3
17;108.041;6
17;134.167;4
17;155.959;10
17;223.322;3
17;145.566;5
17;10344.7;6
17;480.255;10
17;277.192;4
17;119.109;5
17;189.026;9
17;5744.72;4
17;116.925;7
17;175.709;9
17;75.8015;7
17;156.89;3
17;86.2891;4
17;1056.97;6
17;82.0562;3
17;78.1422;4
17;3088.46;6
17;165.11;7
17;440.449;11
17;1826.64;6
17;182.069;7
17;124.328;5
17;759.682;5
17;182.228;11
17;107.84;3
17;1213.68;4
17;250.169;7
17;1139.17;1
17;2583.94;5
17;318.161;5
17;39211.3;3
17;175.582;10
17;2184.76;2
17;140.987;3
17;1698.54;4
17;94.1365;7
17;421.916;4
17;97.7793;6
17;974.733;5
17;4320.38;2
17;207.424;5
17;569.544;7
17;134.828;10
17;240.345;8
17;724.707;7
17;204.332;7
17;233.311;10
17;2614.69;3
17;394.584;9
