n_places;milliseconds;valid_transitions
10;122.131;7
10;112.695;6
10;51.1208;3
10;73.1561;2
10;105.206;2
10;61.2541;1
10;58.6823;4
10;287.658;1
10;289.018;6
10;134.788;6
10;51.9599;6
10;110.047;4
10;280.648;2
10;298.62;1
10;133.508;5
10;62.5767;5
10;90.1423;5
10;50.9721;1
10;133.439;5
10;53.899;3
10;63.2482;4
10;82.4257;2
10;55.0564;6
10;225.286;1
10;1083.14;1
10;400.138;3
10;47.0881;5
10;50.23;5
10;263.041;1
10;51.4994;6
10;38.0604;3
10;59.7167;5
10;72.1015;4
10;344.736;4
10;56.8925;3
10;68.0933;3
10;48.7509;3
10;30.8927;0
10;34.174;0
10;39.4001;1
10;171.267;2
10;47.1321;4
10;50.0413;5
10;75.5388;2
10;74.4097;5
10;51.7918;2
10;183.417;0
10;66.3935;1
10;51.2591;1
10;192.752;4
10;45.3336;2
10;57.3701;6
10;47.1847;7
10;161.093;1
10;42.8307;2
10;51.3282;3
10;57.6463;1
10;56.825;5
10;36.5701;5
10;178.184;0
10;875.067;0
10;64.318;11
10;57.0852;1
10;274.864;3
10;61.4009;2
10;161.908;1
10;46.9821;7
10;53.4818;1
10;48.3354;6
10;331.037;1
10;58.3379;5
10;45.8749;7
10;878.25;1
10;50.1495;3
10;54.3016;5
10;47.3637;1
10;71.7793;1
10;50.9531;4
10;48.9464;3
10;46.2042;3
10;50.8928;2
10;29.0912;1
10;415.503;5
10;52.4607;1
10;59.1278;1
10;294.132;1
10;158.802;2
10;94.5019;0
10;45.2695;3
10;37.5223;5
10;51.4136;4
10;263.243;5
10;264.738;2
10;168.96;4
10;88.0704;1
10;737.09;1
10;46.1444;2
10;170.483;6
10;183.56;0
10;873.85;1
11;73.4246;7
11;63.3621;5
11;109.305;0
11;42.8498;6
11;100.985;4
11;71.71;4
11;217.318;1
11;73.4242;1
11;131.023;4
11;124.894;4
11;105.139;6
11;69.0673;3
11;137.77;0
11;58.9314;10
11;88.2868;7
11;69.2021;4
11;460.208;4
11;87.4044;3
11;49.5125;3
11;45.4641;5
11;308.637;3
11;48.9756;2
11;1650.68;1
11;45.4812;1
11;64.6878;1
11;50.3753;4
11;265.676;0
11;223.64;6
11;104.834;4
11;407.626;3
11;43.6066;6
11;230.793;2
11;54.1144;10
11;72.8199;4
11;109.694;4
11;95.4404;1
11;52.7031;3
11;962.107;0
11;217.772;1
11;77.56;6
11;44.255;2
11;55.2907;3
11;87.0951;3
11;49.3825;3
11;543.776;4
11;64.3529;3
11;130.559;1
11;176.645;0
11;89.0028;4
11;724.843;4
11;49.78;7
11;49.7473;6
11;359.015;6
11;43.6071;5
11;44.4367;3
11;59.0191;4
11;151.686;3
11;57.0366;6
11;56.0125;2
11;53.266;2
11;45.3436;5
11;329.349;5
11;55.1105;3
11;137.675;0
11;103.498;1
11;50.6643;3
11;57.8025;5
11;570.15;3
11;50.7893;8
11;58.4441;1
11;109.608;3
11;195.907;4
11;49.5786;7
11;284.079;3
11;47.6066;3
11;71.8935;5
11;594.603;2
11;455.417;1
11;57.2766;1
11;127.399;4
11;52.2899;4
11;89.5356;6
11;61.5184;6
11;72.5052;5
11;42.7;8
11;139.631;8
11;65.5921;3
11;131.142;1
11;74.0447;9
11;52.2647;1
11;57.0367;3
11;46.3819;6
11;135.596;3
11;111.359;2
11;51.9908;5
11;54.3458;6
11;68.659;5
11;57.8236;8
11;206.088;0
11;49.2778;3
12;157.798;1
12;51.3044;2
12;47.8065;6
12;84.6756;7
12;80.5587;8
12;115.079;1
12;1251.54;1
12;71.0622;4
12;342.55;5
12;51.5618;6
12;424.339;2
12;74.5358;3
12;49.6801;7
12;191.732;8
12;203.162;6
12;67.8136;4
12;58.0186;6
12;73.1609;4
12;421.721;4
12;80.2914;2
12;338.825;4
12;3475.73;3
12;145.896;2
12;236.218;5
12;1079.01;0
12;494.79;0
12;746.183;3
12;808.783;2
12;113.409;2
12;45.3815;3
12;167.984;11
12;65.3148;6
12;217.987;0
12;193.005;0
12;61.7529;5
12;85.0091;3
12;48.852;5
12;2013.33;0
12;204.942;8
12;67.9464;5
12;51.1827;5
12;49.3684;9
12;538.694;7
12;1770.59;6
12;236.324;0
12;55.3507;7
12;57.6083;5
12;640.026;1
12;1823.23;0
12;49.8595;6
12;67.0712;9
12;56.8689;7
12;138.834;1
12;74.4806;7
12;117.068;3
12;121.835;4
12;80.5231;8
12;54.8174;3
12;199.325;2
12;120.74;2
12;57.4053;2
12;64.1305;9
12;121.485;7
12;54.6727;2
12;189.797;1
12;70.8102;5
12;770.51;5
12;667.909;6
12;49.8959;1
12;466.162;4
12;165.574;5
12;57.0421;2
12;1674.96;4
12;323.379;4
12;92.3737;2
12;94.4931;7
12;5981.25;1
12;80.475;5
12;46.2652;5
12;73.8889;5
12;451.519;0
12;107.042;4
12;567.681;0
12;2047.12;2
12;180.161;2
12;57.62;8
12;289.299;8
12;196.918;5
12;2562.36;1
12;208.565;10
12;110.906;2
12;64.869;9
12;60.9526;11
12;103.375;13
12;354.845;4
12;93.8245;7
12;71.697;5
12;47.9155;7
12;65.497;5
12;59.6717;5
13;4515.91;1
13;5850.01;0
13;950.04;4
13;2695.81;3
13;353.391;4
13;53.6012;9
13;57.8439;5
13;900.055;6
13;968.801;3
13;64.773;1
13;307.86;1
13;1390.04;1
13;74.0162;8
13;74.2673;1
13;66.83;4
13;142.858;6
13;6926.66;3
13;75.0739;1
13;62.7088;2
13;347.688;0
13;315.499;6
13;73.1553;4
13;49.5278;6
13;118.638;6
13;47.1383;6
13;104.797;4
13;150.918;5
13;168.212;5
13;63.144;4
13;520.081;3
13;3075.07;5
13;76.2022;0
13;238.828;1
13;95.5227;6
13;53.1588;1
13;130.474;4
13;115.876;3
13;53.249;12
13;84.0726;0
13;243.237;6
13;53.0477;5
13;414.886;6
13;44.939;4
13;64.7964;6
13;559.656;0
13;66.1334;2
13;203.746;6
13;253.62;0
13;3265.07;3
13;364.355;6
13;586.608;3
13;82.9741;4
13;80.6475;1
13;958.316;6
13;49.2976;4
13;380.709;3
13;58.1656;7
13;64.5677;4
13;151.39;3
13;50.8056;5
13;52.5366;2
13;298.57;3
13;212.969;4
13;65.1042;8
13;76.8344;8
13;61.1091;8
13;82.2134;1
13;46.7039;2
13;53.5067;7
13;479.368;4
13;55.4275;1
13;548.431;6
13;56.8974;4
13;155.913;1
13;2326.74;6
13;398.092;3
13;61.742;2
13;287.022;9
13;63.6437;3
13;3050.54;2
13;113.698;3
13;95.1092;6
13;852.851;0
13;78.5624;7
13;134.278;1
13;122.15;3
13;64.9971;3
13;1733.02;3
13;60.4914;9
13;89.6049;8
13;296.149;1
13;264.316;3
13;554.007;2
13;612.175;1
13;83.6388;6
13;70.4059;3
13;54.7651;4
13;53.8484;6
13;55.7065;7
13;543.161;3
14;128.842;4
14;58.1765;5
14;86.8132;12
14;251.72;5
14;1671.71;4
14;62.1466;4
14;6361.48;5
14;10031.5;4
14;54.9307;4
14;125.068;13
14;11557.9;1
14;61.1596;5
14;65.6438;5
14;152.917;2
14;59.7765;9
14;2063.33;1
14;94.6246;3
14;1338.37;5
14;72.1436;4
14;331.216;5
14;96.6247;1
14;88.6455;6
14;85.7898;4
14;377.401;1
14;65.5346;4
14;81.3178;9
14;231.717;6
14;68.8762;3
14;134.857;2
14;1532.86;1
14;92.9254;7
14;1152.2;3
14;50.9683;2
14;1668.7;1
14;134.912;2
14;74.2126;7
14;50.9795;7
14;338.989;2
14;63.6335;6
14;66.1941;9
14;82.658;2
14;77.9067;5
14;80.2847;7
14;160.402;8
14;114.96;5
14;40.5057;3
14;150.102;5
14;60.0561;9
14;1495.43;5
14;4773.22;7
14;61.2397;6
14;62.3019;10
14;1292.5;4
14;1210.14;2
14;117.975;9
14;320.28;8
14;355.22;4
14;302.213;4
14;70.3822;8
14;221.473;7
14;2619.25;9
14;2321.93;5
14;64.6284;3
14;341.228;7
14;67.4494;3
14;67.085;7
14;156.013;2
14;55.6355;7
14;3262.04;6
14;931.229;5
14;54.7151;2
14;65.2186;4
14;45.1013;4
14;62.4072;4
14;2798.99;2
14;90.4995;7
14;103.18;7
14;70.5906;3
14;96.5322;4
14;64.1863;5
14;4131.84;7
14;80.9292;3
14;128.362;6
14;75.8596;5
14;53.7896;6
14;2567.85;2
14;109.7;4
14;52.835;5
14;84.5953;1
14;62.0747;1
14;55.5554;2
14;4019.72;0
14;55.1232;6
14;217.446;2
14;51.2088;11
14;54.0393;5
14;58.7814;5
14;475.58;6
14;56.7621;8
14;553.124;8
15;59.5507;8
15;3999.21;5
15;678.096;6
15;2122.41;5
15;74.0305;4
15;177.306;3
15;86.3962;4
15;93.5213;4
15;85.4812;6
15;2580.95;2
15;56.2544;10
15;62.4511;5
15;507.816;4
15;783.586;2
15;303.512;4
15;165.477;4
15;248.884;7
15;79.6617;5
15;2990.15;1
15;55.3273;7
15;2517.51;6
15;574.292;4
15;81.5675;8
15;446.111;3
15;614.016;7
15;463.365;3
15;376.083;4
15;65.5872;8
15;15071.3;6
15;1560.36;5
15;64.6797;4
15;50.5845;7
15;79.0042;10
15;388.715;7
15;1601.49;3
15;49.0126;2
15;27695.3;10
15;93.3786;4
15;1089.58;4
15;6158.56;5
15;79.6174;11
15;82.3862;7
15;72.6709;9
15;376.074;1
15;80.4129;6
15;4071.67;5
15;229.766;2
15;245.842;6
15;3660.89;3
15;1496.5;7
15;553.254;7
15;67.0596;4
15;511.619;5
15;109.387;9
15;2915.78;8
15;243.564;5
15;771.952;9
