n_places;milliseconds;milliseconds_n_at_once;valid_transitions
10;63.0593;62.8272;3
10;56.7559;56.6889;2
10;64.9243;70.5134;5
10;87.5355;82.7961;2
10;48.1758;48.1378;5
10;56.8875;56.9526;6
10;62.0549;61.9331;4
10;64.3891;64.4333;5
10;103.84;125.521;2
10;56.2391;56.1706;4
10;65.9047;65.8175;5
10;61.864;61.7858;5
10;62.5669;135.318;3
10;65.78;65.5569;1
10;60.458;60.4257;3
10;103.087;103.163;6
10;61.4954;62.7073;6
10;49.3265;51.1457;5
10;64.07;64.0599;7
10;52.5612;51.4518;7
10;62.6448;62.4617;2
10;105.702;105.532;1
10;55.9871;56.0204;6
10;40.3273;40.3003;6
10;54.7181;54.6909;6
10;64.9647;58.2463;2
10;49.9836;49.9098;1
10;95.4929;95.5173;2
10;93.6279;91.7588;3
10;61.7302;61.7018;8
10;69.3544;69.2057;3
10;50.2865;50.2907;4
10;58.0503;58.01;2
10;58.1447;54.681;6
10;69.9823;69.9735;7
10;49.2331;49.2135;0
10;44.4065;44.2883;5
10;49.5695;49.5913;3
10;52.5833;52.6002;6
10;37.8246;37.8454;2
10;203.911;203.841;0
10;42.5568;42.5709;5
10;40.0085;39.9894;0
10;50.3848;50.3676;1
10;130.173;54.714;2
10;94.6216;94.3358;8
10;70.7131;70.67;6
10;45.9837;45.8802;1
10;52.2165;107.668;0
10;57.8427;57.8104;1
10;52.0178;52.0505;7
10;80.7285;80.6803;3
10;35.2346;35.1385;0
10;52.1369;52.138;4
10;72.2922;72.675;6
10;50.8424;50.8569;1
10;57.6444;57.6864;5
10;51.7392;51.8534;1
10;56.9038;56.5422;2
10;47.8153;47.8362;6
10;60.9591;60.7531;2
10;68.1103;68.1819;1
10;52.1479;52.08;3
10;50.2145;55.2184;1
10;64.1477;64.1016;3
10;45.9547;45.9271;1
10;84.6418;84.506;1
10;58.5179;58.4457;9
10;48.3704;44.3091;2
10;124.332;62.6095;2
10;53.3007;53.2079;4
10;55.4472;53.1104;2
10;78.928;78.8665;3
10;81.5141;185.475;3
10;49.1658;49.0812;0
10;53.0064;53.7837;0
10;82.233;72.845;3
10;55.7118;55.7241;4
10;72.5957;71.7684;6
10;52.3998;52.4101;2
10;75.6427;92.9574;2
10;37.2056;37.1531;3
10;56.1758;56.176;3
10;47.3718;47.29;2
10;76.7051;85.82;3
10;61.2834;63.1295;2
10;65.3913;65.3278;5
10;45.7853;45.7832;2
10;60.9503;60.9604;4
10;64.9045;60.3195;2
10;59.2144;37.6023;0
10;63.1681;65.7373;2
10;93.7064;93.6751;3
10;50.5125;50.4682;4
10;59.9312;60.0274;1
10;58.6947;58.9322;5
10;84.8443;99.0075;0
10;111.77;111.551;3
10;50.1749;50.1338;4
10;52.4279;68.5682;3
11;67.9915;67.9834;7
11;68.6729;68.5315;2
11;47.7382;47.6921;1
11;63.5063;61.8564;14
11;60.0681;59.2265;4
11;88.3099;109.637;5
11;65.2489;65.1128;3
11;53.8104;53.8107;3
11;93.9418;92.7409;4
11;58.5244;58.654;1
11;100.813;99.516;4
11;51.4821;51.4993;3
11;78.5638;80.5625;2
11;69.1306;69.1017;5
11;50.1999;50.1705;2
11;61.6298;61.5935;5
11;52.8907;52.8517;3
11;52.1044;51.7514;6
11;195.226;195.167;3
11;83.8544;63.8107;0
11;105.275;103.367;2
11;67.6311;67.5173;2
11;49.1959;49.1617;3
11;69.6765;90.6814;7
11;120.27;124.354;5
11;57.4699;57.3949;7
11;69.8241;69.73;7
11;56.1808;56.092;3
11;90.7814;120.608;2
11;72.2527;79.5413;2
11;58.7389;58.6132;1
11;51.3956;51.295;2
11;69.3792;69.4976;3
11;57.5958;57.4469;4
11;58.4095;56.6297;2
11;64.2444;64.7771;5
11;60.2733;73.5059;6
11;52.3581;55.9867;6
11;56.7973;56.7008;4
11;32.8586;32.8781;0
11;273.395;258.293;5
11;75.9602;75.8101;4
11;47.6915;47.6614;3
11;101.056;283.309;2
11;57.1047;54.4816;4
11;71.756;71.7655;2
11;36.5146;36.477;0
11;103.427;103.594;4
11;69.8495;89.7748;4
11;121.315;479.978;0
11;645.364;643.804;0
11;121.589;50.9073;4
11;130.736;192.414;3
11;92.2167;90.3355;5
11;141.131;141.034;3
11;66.8157;66.7907;3
11;56.4119;57.0025;4
11;59.968;59.9778;2
11;55.0401;55.0981;2
11;42.7849;42.8438;0
11;57.0592;56.9573;1
11;66.0304;66.0885;6
11;60.1745;59.4837;4
11;128.532;265.152;5
11;54.9972;54.9788;3
11;62.2514;61.3836;5
11;55.5554;55.5654;2
11;45.1153;45.1425;4
11;59.6155;59.5461;8
11;51.2906;51.236;11
11;60.5143;60.5009;0
11;52.1554;52.0961;5
11;73.0895;95.2249;5
11;117.225;266.611;0
11;44.009;43.9921;1
11;56.1543;56.1005;5
11;76.2433;76.1415;5
11;80.5408;67.1323;1
11;75.2426;75.2653;2
11;67.1327;67.1655;7
11;52.6081;52.5588;5
11;61.0212;72.1158;4
11;335.489;239.41;1
11;62.0526;62.0747;3
11;50.3116;50.2612;4
11;57.2727;57.2239;8
11;64.2321;64.1855;3
11;91.6646;91.461;5
11;59.0602;58.9027;7
11;62.0855;62.1128;4
11;62.5542;62.7591;5
11;76.3228;110.726;4
11;55.3531;44.7753;2
11;59.8303;59.8256;7
11;67.9728;91.0233;2
11;59.6635;76.7536;1
11;54.1338;54.087;1
11;79.8511;76.3058;0
11;56.3298;56.4511;6
11;65.5041;100.535;3
12;51.4733;51.5284;3
12;81.2862;75.8;6
12;136.278;137.709;8
