n_places;milliseconds;valid_transitions
10;116.031;0
10;106.038;3
10;97.0877;7
10;168.895;1
10;113.111;5
10;82.9955;1
10;120.808;5
10;103.411;2
10;244.188;2
10;96.7056;2
10;52.8964;1
10;425.895;4
10;166.252;2
10;128.53;3
10;79.7711;5
10;95.928;4
10;82.9808;3
10;710.61;0
10;63.9088;4
10;82.2025;5
10;86.8863;5
10;146.463;3
10;106.177;4
10;110.007;4
10;119.248;2
10;77.261;3
10;95.2923;6
10;164.635;0
10;109.602;4
10;161.444;1
10;82.8638;2
10;145.613;5
10;77.4975;6
10;74.8878;1
10;78.2775;4
10;114.586;1
10;86.1767;4
10;108.91;4
10;87.249;5
10;155.047;4
10;309.657;3
10;95.307;3
10;81.2171;3
10;277.428;2
10;93.7295;8
10;64.6907;3
10;88.1261;1
10;148.936;3
10;146.087;2
10;256.534;2
10;163.332;3
10;80.6649;4
10;67.8533;0
10;92.2257;4
10;67.4625;3
10;124.361;2
10;67.9343;2
10;77.7394;4
10;61.4144;5
10;73.9024;4
10;59.0125;4
10;79.0963;1
10;72.9699;3
10;85.6007;3
10;99.2243;5
10;71.8035;3
10;75.0986;4
10;166.759;2
10;241.79;4
10;82.1783;5
10;82.7753;6
10;115.835;2
10;59.1977;4
10;111.549;7
10;89.6295;9
10;109.058;7
10;84.8306;5
10;56.7796;5
10;444.926;5
10;64.218;4
10;212.395;5
10;73.2749;1
10;80.9832;5
10;63.9849;4
10;62.415;2
10;44.9334;0
10;65.1257;4
10;50.8293;8
10;144.932;2
10;58.1389;4
10;72.8368;4
10;60.3648;6
10;61.0507;3
10;77.2074;1
10;181.314;5
10;93.2048;3
10;158.408;4
10;100.078;3
10;85.9222;4
10;108.13;5
11;127.776;4
11;113.953;4
11;104.613;4
11;138.123;2
11;447.557;4
11;101.867;6
11;85.4151;6
11;134.642;4
11;96.0243;8
11;96.3609;2
11;148.435;4
11;109.689;1
11;105.355;1
11;85.7138;5
11;124.03;4
11;155.576;1
11;95.6212;5
11;102.778;4
11;154.461;1
11;139.511;1
11;136.247;3
11;124.085;1
11;67.0481;3
11;89.6898;4
11;430.524;4
11;76.1409;1
11;69.2306;3
11;102.207;3
11;105.038;0
11;72.6683;5
11;138.595;1
11;54.6734;1
11;117.221;8
11;110.244;3
11;91.4765;2
11;61.7445;1
11;60.6472;5
11;80.4927;2
11;74.12;1
11;74.0315;8
11;81.0679;5
11;159.261;3
11;1536.32;2
11;129.53;3
11;118.651;6
11;69.5715;6
11;197.977;2
11;68.7151;3
11;257.803;1
11;220.361;6
11;86.5767;2
11;96.3623;2
11;198.466;13
11;190.279;3
11;101.662;2
11;76.4497;2
11;79.334;5
11;68.6395;9
11;91.3364;3
11;98.8973;7
11;575.212;0
11;238.208;3
11;83.769;3
11;181.307;4
11;92.1955;6
11;69.7267;2
11;49.8832;5
11;102.934;4
11;99.0576;6
11;1238.03;2
11;51.5634;1
11;110.761;5
11;408.534;3
11;155.235;1
11;123.784;2
11;597.942;4
11;224.665;4
11;89.4825;3
11;48.3525;4
11;128.84;5
11;83.3194;5
11;156.065;6
11;164.977;2
11;579.326;0
11;85.6724;1
11;100.371;2
11;117.637;5
11;76.6456;5
11;89.7236;9
11;394.568;7
11;150.224;4
11;97.414;3
11;172.043;2
11;785.722;0
11;464.603;0
11;71.6325;3
11;46.5226;0
11;89.0685;4
11;218.771;1
11;742.934;4
12;95.4602;1
12;66.1218;4
12;68.3609;3
12;78.6646;3
12;76.4634;4
12;430.398;8
12;96.5106;5
12;106.057;6
12;151.591;5
12;230.689;7
12;320.829;3
12;76.607;3
12;409.23;5
12;87.8096;4
12;59.2848;6
12;111.172;1
12;627.312;5
12;193.855;7
12;236.396;3
12;97.3648;4
12;731.406;3
12;104.222;2
