n_places;milliseconds;valid_transitions
10;70.3872;5
10;106.845;1
10;64.5662;4
10;209.512;3
10;81.1251;4
10;116.068;5
10;43.3701;3
10;73.5512;3
10;68.3049;4
10;229.531;5
10;45.7227;2
10;81.751;2
10;137.669;1
10;52.757;8
10;149.322;1
10;104.158;6
10;118.205;2
10;99.9466;4
10;74.7;1
10;41.1362;7
10;53.415;0
10;504.369;4
10;172.746;8
10;74.7741;3
10;47.5135;0
10;67.7271;6
10;54.426;2
10;226.507;0
10;161.845;4
10;430.887;2
10;317.946;2
10;44.1598;4
10;186.444;2
10;60.7249;6
10;150.869;5
10;35.0737;0
10;253.907;4
10;544.095;3
10;55.1323;7
10;99.5714;5
10;45.6487;7
10;54.7488;4
10;61.2811;5
10;42.6583;7
10;115.456;1
10;52.7351;1
10;58.2856;4
10;91.3384;2
10;52.4747;7
10;52.4312;5
10;144.083;5
10;63.493;1
10;53.0508;3
10;68.3082;2
10;79.9448;7
10;134.754;1
10;82.8241;4
10;46.8237;5
10;50.4573;0
10;53.0373;3
10;53.0215;7
10;145.821;2
10;50.1043;6
10;55.5693;1
10;77.6508;3
10;123.748;4
10;60.3178;4
10;52.4918;6
10;107.665;2
10;484.486;3
10;201.98;3
10;43.8277;2
10;247.613;8
10;261.48;1
10;164.655;1
10;42.1622;5
10;111.571;4
10;90.1797;3
10;66.2176;9
10;75.7665;3
10;50.1041;7
10;50.9702;5
10;57.7663;8
10;59.412;3
10;48.7568;3
10;51.4629;7
10;290.714;4
10;49.3915;5
10;61.2924;8
10;1846.81;0
10;76.137;7
10;40.1572;7
10;79.788;3
10;57.6363;1
10;101.5;8
10;102.085;1
10;93.5516;2
10;54.4607;2
10;69.3618;7
10;258.774;1
11;146.255;5
11;68.82;6
11;175.924;1
11;95.0931;1
11;369.962;1
11;50.3999;6
11;78.0113;3
11;186.908;2
11;44.5652;2
11;61.7329;4
11;674.623;4
11;92.7538;3
11;203.921;5
11;395.404;1
11;350.13;3
11;160.349;2
11;67.2733;3
11;51.0544;7
11;47.4777;3
11;66.1711;2
11;53.9116;3
11;235.607;0
11;237.319;4
11;345.7;3
11;62.3843;5
11;87.4841;5
11;44.3896;4
11;50.3264;6
11;330.039;2
11;52.3611;2
11;675.712;2
11;63.181;6
11;53.8603;10
11;87.8622;3
11;101.699;5
11;98.3163;5
11;51.1026;8
11;158.409;5
11;53.8206;7
11;61.8717;4
11;362.829;0
11;103.232;2
11;83.6212;3
11;1172.69;1
11;132.832;7
11;87.8663;3
11;69.5511;1
11;51.1199;3
11;55.2231;2
11;59.6985;2
11;770.976;0
11;329.255;4
11;55.1887;6
11;37.7424;1
11;2099.81;1
11;66.6391;2
11;64.8374;3
11;63.5418;1
11;69.2681;5
11;72.5958;7
11;95.5833;1
11;104.973;3
11;409.398;4
11;80.3531;1
11;50.9018;8
11;93.3769;3
11;49.5342;8
11;101.992;4
11;170.195;3
11;44.2408;4
11;56.6141;5
11;136.28;3
11;46.5796;2
11;57.8335;7
11;104.687;4
11;46.489;5
11;58.8861;2
11;387.367;3
11;47.3224;2
11;225.41;2
11;67.6456;1
11;126.018;0
11;1617.16;2
11;103.096;2
11;44.0249;5
11;387.129;3
11;1443.02;4
11;48.2841;6
11;235.841;2
11;82.6722;2
11;48.4422;2
11;47.0898;7
11;79.1552;3
11;76.7817;4
11;49.9829;6
11;55.4768;3
11;51.4383;7
11;49.1663;6
11;62.5954;4
11;61.0792;2
12;127.221;3
12;48.9289;4
12;692.83;4
12;322.01;1
12;65.7668;7
12;243.65;4
12;90.0999;3
12;56.3289;7
12;60.9073;7
12;112.996;6
12;60.1742;4
12;194.413;0
12;65.6724;6
12;1028.72;3
12;69.7569;5
12;55.334;4
12;86.827;0
12;485.939;2
12;75.3506;4
12;313.937;3
12;81.4587;2
12;58.1466;6
12;678.189;6
12;277;3
12;55.7407;5
12;130.003;6
12;122.114;1
12;216.352;3
12;52.5924;3
12;77.347;7
12;78.9916;7
12;51.2383;2
12;123.52;7
12;54.5115;7
12;146.961;3
12;44.5492;4
12;317.543;4
12;55.6379;2
12;52.3329;3
12;100.147;4
12;64.6909;1
12;351.404;7
12;63.3935;3
