n_places;milliseconds;milliseconds_n_at_once;valid_transitions
10;42.9178;42.0806;1
10;52.4237;52.4097;3
10;57.0271;56.4179;2
10;47.0689;46.9562;1
10;65.0017;65.0227;2
10;58.6835;58.5528;3
10;47.6878;58.5819;2
10;61.1345;59.5647;3
10;57.9889;57.9803;4
10;48.9253;49.9658;6
10;108.491;94.4366;2
10;78.1669;74.2425;3
10;53.0649;52.36;2
10;53.3633;53.37;5
10;61.3646;81.6669;5
10;74.9216;74.8345;4
10;54.6525;54.5773;4
10;63.1645;98.7603;1
10;63.9326;62.8951;4
10;56.7367;56.7605;2
10;52.6072;52.6001;2
10;54.1975;54.1434;4
10;44.863;44.7974;1
10;123.585;100.399;5
10;49.2644;49.218;4
10;54.7781;54.7615;3
10;86.2966;117.913;6
10;41.6241;41.6053;3
10;38.6236;38.5485;1
10;61.3911;61.3955;4
10;59.5059;63.8247;6
10;44.1543;44.1089;3
10;53.4475;53.4546;5
10;75.8615;72.4863;3
10;67.7388;67.6173;5
10;103.728;103.476;0
10;88.2361;88.2896;2
10;46.0741;46.0153;5
10;56.7874;56.7085;8
10;49.8005;49.7559;4
10;119.983;121.67;2
10;61.4174;61.3906;3
10;52.0789;52.0708;3
10;157.259;217.548;4
10;44.5081;44.4167;6
10;83.9658;52.1568;0
10;68.8692;68.9629;1
10;46.4742;46.4724;3
10;61.7481;61.7231;4
10;38.3172;38.2547;4
10;34.7541;34.7152;3
10;87.8509;88.1193;3
10;62.7576;62.7587;3
10;50.9598;50.9556;4
10;66.1966;291.571;2
10;65.3198;65.125;2
10;47.4498;47.3953;4
10;58.4259;57.4512;1
10;54.9246;54.9471;5
10;58.224;58.2191;3
10;54.9358;58.6424;6
10;42.5545;42.5227;1
10;53.3647;53.5378;4
10;45.515;45.5179;2
10;53.0787;53.0624;6
10;38.3119;38.2482;4
10;46.4333;46.4315;4
10;69.732;68.943;7
10;69.7059;69.6994;2
10;39.668;39.2829;2
10;48.0889;48.9275;3
10;51.307;51.5632;6
10;106.992;111.457;1
10;69.7311;71.3923;6
10;40.1098;40.065;2
10;144.338;112.653;6
10;62.2019;61.4059;2
10;75.7113;92.518;2
10;50.4082;50.3917;4
10;63.2117;64.1759;4
10;41.4781;41.4188;1
10;85.6245;122.646;0
10;46.5155;46.4819;3
10;549.498;334.238;1
10;59.5296;62.7573;1
10;56.2697;56.2511;3
10;95.1864;94.9302;3
10;69.5173;69.4309;5
10;50.4008;50.3605;3
10;71.7549;71.7544;6
10;43.6832;43.7062;5
10;69.9283;69.9036;4
10;54.2849;54.3154;4
10;53.2924;57.2243;3
10;48.9811;48.9311;3
10;55.9249;55.9328;4
10;40.6671;40.6191;6
10;59.2886;59.3365;1
10;33.9016;37.0325;4
10;46.8475;46.7653;3
11;63.8535;63.8184;2
11;71.3685;96.8767;0
11;76.2404;76.1986;6
11;127.433;97.74;2
11;56.6049;56.6567;1
11;55.544;55.5173;6
11;73.8918;70.5893;6
11;99.4335;77.2331;3
11;63.4302;63.3983;4
11;64.7677;64.7589;5
11;50.5318;50.5372;4
11;48.7269;48.7193;2
11;60.8482;60.8294;5
11;58.8835;58.8513;3
11;71.2377;73.3934;3
11;63.9028;123.376;4
11;98.5095;119.975;1
11;49.7469;49.7063;3
11;66.7184;66.6322;3
11;93.1491;88.6498;7
11;71.1544;71.0818;4
11;62.9201;70.4483;3
11;193.907;197.922;6
11;42.0766;42.0629;2
11;40.4205;40.3899;5
11;202.254;257.194;7
11;59.3138;77.9147;5
11;57.7194;57.7587;3
11;102.796;80.9605;7
11;67.4096;67.3799;5
11;56.7852;56.7056;10
11;77.4852;69.7638;4
11;51.8976;51.869;6
11;118.294;118.022;3
11;48.2445;59.2042;1
11;51.9857;51.9817;7
11;202.008;310.3;3
11;63.4453;63.3689;5
11;50.3999;50.3468;1
11;130.484;130.221;4
11;109.873;110.808;2
11;167.699;168.802;4
11;97.6301;97.5612;4
11;64.9913;64.9464;4
11;61.2752;61.2825;4
11;84.1645;151.405;3
11;55.9411;78.376;2
11;72.5571;72.54;2
11;139.261;125.923;4
11;151.858;209.251;4
11;91.9063;131.839;2
11;74.2691;99.5135;5
11;60.975;61.0155;10
11;71.0517;112.889;2
11;61.6635;61.7293;6
11;65.8247;63.901;4
11;44.6255;44.5736;3
11;63.5272;63.5014;6
11;65.8093;65.5195;5
11;102.852;102.846;2
11;72.8391;72.785;5
11;56.3878;56.3521;3
11;61.9433;61.8885;10
11;54.937;54.8521;1
11;59.2052;59.1818;3
11;42.7151;42.6738;5
11;290.399;388.812;7
11;121.924;80.9499;3
11;64.7033;64.3402;5
11;77.1842;75.9618;2
11;54.37;54.3363;2
11;46.28;46.2584;5
11;155.456;153.066;3
11;45.3214;45.3406;5
11;65.4537;73.4348;3
11;60.7405;60.733;2
11;97.7352;100.159;4
11;52.7575;52.6683;3
11;83.1873;87.7918;4
11;81.7324;81.6959;2
11;53.6471;53.6447;3
11;74.2109;74.1074;4
11;61.8207;62.6104;3
11;55.7411;55.6715;0
11;54.9593;54.8989;0
11;87.3467;133.162;1
11;80.9316;82.3496;1
11;158.86;158.273;1
11;55.6386;55.5653;2
11;158.163;158.004;7
11;53.1316;53.0805;2
11;117.123;70.7872;6
11;63.816;63.7707;4
11;108.575;108.635;4
11;194.687;122.006;2
11;80.9702;81.4315;4
11;44.4757;44.451;2
11;45.9244;45.9138;5
11;79.3163;79.386;5
11;68.7833;70.3252;2
12;47.3046;47.3379;6
12;461.116;229.959;1
12;67.0795;66.9928;10
12;48.6153;48.6331;3
12;85.6144;85.5523;0
12;82.7282;79.3521;5
12;1706.21;361.066;2
12;92.563;91.7635;9
12;204.732;155.521;5
12;93.0862;95.7209;7
12;56.8324;56.2069;6
12;51.3421;51.3172;4
12;62.3879;86.4003;2
12;72.474;76.9069;9
12;61.5743;63.1245;7
12;57.1887;61.3368;5
12;45.7081;45.6797;7
12;61.3256;61.3259;2
12;65.5318;65.4595;3
12;77.0897;76.8759;6
12;56.6588;56.5969;4
12;52.2857;52.2737;4
12;78.6282;62.0999;4
12;52.8058;52.6245;0
12;66.8993;65.8422;4
12;54.552;54.5847;3
12;59.0795;59.1134;4
12;91.6532;91.6684;1
12;72.2154;124.864;4
12;58.8699;61.6836;1
12;51.4889;51.9301;4
12;186.755;173.333;1
12;71.1148;94.254;5
12;64.3022;64.3244;7
12;52.2009;52.4379;2
12;74.6575;73.0073;3
12;86.4599;87.4389;4
12;57.158;57.1065;1
12;60.555;61.6718;3
12;84.7179;82.8573;5
12;53.2815;53.2522;1
12;62.3809;62.417;9
12;78.4975;110.821;5
12;430.119;593.585;5
12;122.079;83.3423;3
12;151.397;134.843;3
12;114.428;103.229;1
12;58.0985;58.9761;7
12;78.9571;78.6349;4
12;55.3353;55.3631;2
12;41.3541;41.2931;1
12;98.2135;86.7593;1
12;235.452;257.284;3
12;62.6286;72.811;0
12;65.3537;63.0624;9
12;63.3237;63.2484;9
12;122.103;201.323;3
12;51.4601;51.4706;6
12;76.6746;76.6378;5
12;57.5864;57.4972;4
12;51.9322;51.8333;5
12;67.4692;67.2825;2
12;57.2076;131.739;2
12;85.9812;87.2204;6
12;59.3933;59.3859;6
12;39.1406;40.8839;0
12;44.9011;44.9033;7
12;82.0981;81.9486;7
12;70.7004;70.5842;4
12;73.0494;73.7309;8
12;84.3569;84.323;3
12;46.7944;70.0661;5
12;52.9089;52.8895;7
12;88.8855;88.9359;4
12;73.224;80.8023;3
12;66.1423;66.0745;8
12;63.1671;63.1957;7
12;71.6133;71.5406;5
12;238.361;273.504;3
12;61.7645;61.7482;1
12;61.5573;61.5395;1
12;85.018;85.7962;2
12;77.195;82.5133;6
12;54.4386;54.4416;5
12;62.0847;62.0797;9
12;82.9466;82.9079;4
12;82.9274;82.9675;1
12;99.9166;159.747;4
12;52.5648;52.56;3
12;88.8491;136.484;1
12;55.6471;55.6665;8
12;33.1348;33.0629;0
12;170.187;155.784;1
12;64.5898;83.7872;0
12;72.8185;72.7344;7
12;103.797;91.3812;3
12;76.0404;71.3528;2
12;51.5165;51.4462;4
12;62.6621;62.6614;4
12;116.992;84.507;3
13;68.7813;74.5195;3
13;166.374;163.828;4
13;61.9414;61.8955;6
13;53.7329;53.7347;6
13;96.9019;96.7199;6
13;60.6243;60.4835;2
13;65.7918;65.8448;5
13;61.4841;61.4224;7
13;78.7394;78.7226;1
13;64.8299;64.8324;7
13;128.001;126.336;3
13;149.333;146.453;4
13;207.257;210.035;5
13;62.0617;61.9018;8
13;157.692;157.762;2
13;114.997;117.171;5
13;132.705;108.871;6
13;74.0358;73.9115;8
13;63.4283;61.6733;6
13;69.0776;69.0525;4
13;64.7241;64.6607;6
13;91.6903;61.1293;3
13;86.7903;87.0466;5
13;55.8297;55.857;6
13;258.834;274.511;6
13;63.3948;65.3716;2
13;53.3916;53.3438;2
13;76.5235;78.2166;5
13;83.0742;83.0596;7
13;94.1398;89.3622;2
13;64.691;64.6376;4
13;78.8282;80.3147;2
13;946.888;957.365;4
13;100.739;100.736;10
13;141.725;142.067;5
13;120.114;330.324;1
13;68.3612;68.3255;5
13;53.7247;54.8714;7
13;53.4955;53.4427;1
13;144.219;263.518;6
13;102.959;116.811;6
13;60.8107;60.7608;2
13;157.874;131.661;3
13;61.1075;61.0256;10
13;78.818;78.5638;1
13;208.742;223.714;4
13;56.845;56.8221;5
13;65.1879;65.167;4
13;53.2077;53.1887;4
13;72.0123;71.9618;2
13;74.1097;76.042;3
13;65.1423;64.6;3
13;718.929;586.959;3
13;104.928;102.169;8
13;439.182;85.0081;8
13;57.6992;57.534;7
13;108.146;185.55;0
13;74.7904;74.8058;6
13;172.066;171.076;2
13;62.6487;62.6574;3
13;51.1821;101.392;1
13;90.2514;90.1131;7
13;79.8386;76.8772;2
13;58.9791;58.9997;2
13;78.6618;78.6547;2
13;65.3451;65.2701;6
13;85.2006;88.2372;4
13;67.2997;162.675;5
13;67.2832;67.2043;5
13;103.376;135.888;4
13;55.8753;55.8079;1
13;52.8342;52.8092;4
13;89.0956;89.0553;3
13;71.5435;71.5558;6
13;174.059;174.241;4
13;54.6635;53.9445;0
13;329.932;328.273;4
13;51.5688;51.4168;4
13;61.5275;61.5467;6
13;50.3085;50.1194;3
13;140.956;148.616;1
13;86.6455;86.6092;4
13;57.273;57.2212;5
13;64.748;64.7772;4
13;74.8417;76.0017;4
13;162.624;261.177;4
13;564.501;129.452;2
13;58.3952;58.339;7
13;68.4809;64.0116;4
13;66.6602;66.5931;1
13;72.4339;95.9519;4
13;92.5756;71.2727;1
13;72.6427;72.5785;3
13;111.678;113.571;5
13;53.4925;53.4209;5
13;62.7282;62.5699;3
13;64.6687;64.5684;1
13;63.7036;63.6318;2
13;50.9596;50.9129;3
13;60.3498;60.2302;7
14;104.259;101.377;6
14;82.9432;82.8555;8
14;454.249;179.5;5
14;111.217;102.278;6
14;74.4048;92.4267;4
14;74.1511;73.5794;7
14;76.4187;76.3599;5
14;100.235;276.358;3
14;84.918;84.974;7
14;66.335;66.5701;8
14;93.0102;93.0646;3
14;55.1838;55.179;5
14;54.3496;54.3049;5
14;76.8537;76.8658;5
14;61.294;61.287;5
14;72.1704;72.1527;8
14;270.62;270.96;5
14;40.1253;40.114;4
14;66.7474;66.7451;8
14;289.792;476.441;1
14;80.0091;79.9949;8
14;64.5204;96.1258;3
14;70.2102;70.1341;8
14;81.9555;78.3707;5
14;64.5629;64.558;5
14;57.4702;55.0268;8
14;130.336;163.719;4
14;65.1274;63.3462;9
14;73.606;92.1466;0
14;405.115;1355.42;3
14;306.657;140.952;2
14;71.8552;71.9194;5
14;96.0957;96.0089;3
14;142.931;143.086;2
14;155.15;127.985;4
14;85.7805;86.7135;10
14;87.4757;86.2588;2
14;51.5914;51.6132;3
14;91.3976;91.0758;3
14;102.361;100.466;4
14;57.8306;57.7366;5
14;127.851;163.174;3
14;62.8169;62.8382;4
14;87.3774;123.203;1
14;123.437;190.242;8
14;341.662;91.8873;3
14;82.0093;92.8613;9
14;74.6596;74.6144;13
14;795.443;582.063;3
14;95.5913;94.5835;7
14;106.159;103.721;6
14;116.941;129.365;5
14;69.7826;69.7644;10
14;86.6993;85.656;8
14;439.872;131.582;4
14;51.924;51.7843;3
