n_places;milliseconds;milliseconds_n_at_once;valid_transitions
10;285.3;689.242;3
10;142.623;133.586;3
10;47.7933;47.785;8
10;88.3528;105.868;3
10;50.6151;50.5395;5
10;49.7612;51.418;0
10;43.9996;43.8063;0
10;62.0071;61.9385;1
10;38.232;38.1752;4
10;55.8547;40.2092;0
10;49.6435;49.6353;9
10;63.491;63.3035;2
10;89.9614;70.5101;2
10;116.057;69.5589;3
10;47.3396;46.0931;0
10;51.2829;51.22;9
10;57.7981;65.9059;2
10;78.0184;74.319;3
10;59.7525;59.7401;6
10;82.8629;87.7525;3
10;57.1318;57.1218;5
10;44.936;44.9776;10
10;48.8144;48.7556;9
10;57.6532;57.6724;8
10;51.0474;50.9944;17
10;72.8557;62.7492;5
10;40.4071;40.2962;1
10;48.7908;50.9757;12
10;62.2776;62.2289;2
10;40.8138;50.153;4
10;52.0011;54.4418;3
10;55.2029;42.3943;3
10;48.7879;55.3767;5
10;49.2771;52.0394;0
10;56.8643;54.3216;0
10;48.4128;48.347;4
10;41.9567;42.4961;0
10;64.4809;63.6803;5
10;46.5443;56.3457;0
10;50.6713;51.5331;5
10;122.597;116.183;0
10;99.3078;99.2541;4
10;49.2771;48.9376;3
10;56.8016;100.717;10
10;55.9813;55.9354;1
10;49.4685;49.4078;1
10;41.666;41.6248;8
10;49.8162;52.2745;9
10;45.2959;61.3212;0
10;52.9717;60.4851;0
10;39.7957;40.6225;11
10;45.3463;45.2216;1
10;42.223;42.1552;2
10;52.3354;52.3402;5
10;56.0898;56.1101;6
10;136.148;166.408;8
10;60.803;69.8942;2
10;45.1063;53.5123;0
10;55.9734;55.9304;9
10;42.7747;42.7208;18
10;73.1511;71.6198;4
10;47.6519;47.6241;1
10;46.7258;44.6855;0
10;65.447;64.2442;1
10;51.1438;50.9905;1
10;50.8424;50.8787;22
10;54.2103;53.4896;13
10;48.3827;55.9532;0
10;54.9977;54.997;5
10;43.8611;43.7778;13
10;46.0125;51.6929;0
10;46.3897;46.3781;9
10;110.151;107.496;1
10;57.4002;57.3853;15
10;59.7253;59.6407;9
10;73.3892;69.9511;4
10;50.8205;50.8196;12
10;54.5378;54.5317;12
10;91.2786;90.9073;1
10;46.7068;48.3521;0
10;46.1871;58.9496;0
10;46.3174;49.904;0
10;37.0678;37.0176;4
10;51.1881;55.8652;2
10;80.5004;80.5754;3
10;36.6715;51.2895;0
10;49.1787;57.8643;0
10;59.8292;60.562;0
10;68.549;68.4568;3
10;49.4515;49.4242;1
