n_places;milliseconds;valid_transitions
10;150.188;5
10;399.396;4
10;37.956;0
10;203.342;0
10;49.7964;2
10;144.163;3
10;149.068;2
10;54.1616;6
10;210.802;3
10;47.2006;1
10;48.7549;8
10;121.783;5
10;227.392;5
10;51.6233;3
10;116.778;2
10;225.98;2
10;64.3196;6
10;90.8612;5
10;45.4947;2
10;41.4703;3
10;596.058;2
10;75.2154;3
10;65.58;4
10;114.537;4
10;69.3955;1
10;122.406;3
10;65.5529;3
10;91.8331;2
10;86.0796;6
10;285.098;0
10;42.8414;1
10;363.743;3
10;175.211;2
10;205.432;4
10;128.844;3
10;725.882;5
10;134.138;3
10;103.571;4
10;219.037;2
10;156.87;8
10;55.7907;3
10;110.102;0
10;48.2813;3
10;197.818;4
10;251.839;2
10;45.6097;5
10;66.6045;0
10;57.6534;2
10;66.1013;5
10;105.841;3
10;65.3475;5
10;181.832;0
10;60.2418;2
10;45.5392;5
10;43.1854;8
10;105.954;3
10;128.306;1
10;49.9945;3
10;630.535;2
10;48.5602;4
10;744.542;2
10;156.928;2
10;51.4903;1
10;45.6857;6
10;277.654;6
10;44.1554;5
10;744.223;1
10;37.1842;2
10;46.0574;1
10;52.2711;3
10;40.2962;3
10;58.8807;2
10;52.5787;3
10;105.762;3
10;50.28;1
10;56.2166;1
10;37.1908;3
10;51.8239;4
10;201.858;2
10;51.403;8
10;49.7494;6
10;310.839;1
10;124.857;4
10;65.2431;1
10;70.782;0
10;57.648;4
10;151.036;4
10;57.9142;3
10;113.64;9
10;68.685;3
10;422.438;2
10;47.4471;4
10;91.2576;1
10;93.6343;5
10;54.8302;4
10;213.444;5
10;45.6551;6
10;177.752;1
10;545.004;1
10;39.5979;3
11;132.257;4
11;269.788;0
11;48.2888;7
11;44.7781;0
11;262.49;1
11;65.8393;6
11;31.1396;1
11;322.834;7
11;100.78;7
11;53.5875;7
11;63.7593;1
11;74.8488;3
11;144.638;2
11;76.735;7
11;106.195;3
11;142.39;3
11;55.8859;3
11;359.155;0
11;536.985;7
11;130.26;4
11;288.166;1
11;79.8757;2
11;358.222;2
11;123.173;3
11;178.095;3
11;59.9187;1
11;69.1579;8
11;88.7283;6
11;213.18;1
11;54.4565;6
11;282.048;4
11;278.183;3
11;96.8981;3
11;48.2465;3
11;53.9647;1
11;55.1332;7
11;49.2901;4
11;49.874;5
11;83.7725;2
11;53.866;3
11;895.277;5
11;461.098;0
11;50.494;9
11;281.43;1
11;792.615;0
11;156.685;3
11;57.3604;5
11;90.0784;4
11;94.1768;2
11;62.372;4
11;117.899;2
11;89.7347;5
11;143.357;1
11;348.415;3
11;51.1066;2
11;2228.97;2
11;53.8002;4
11;50.6547;2
11;397.194;0
11;41.8386;5
11;102.822;1
11;68.459;7
11;478.063;2
11;40.9624;3
11;104.885;8
11;354.786;2
11;56.6274;3
11;58.1695;4
11;100.497;5
11;115.219;4
11;84.704;4
11;72.3665;3
11;414.272;4
11;53.7902;3
11;316.188;3
11;42.7689;3
11;393.021;5
11;51.3271;3
11;741.954;2
11;532.157;3
11;54.6982;10
11;65.9044;4
11;196.412;1
11;99.6022;4
11;115.11;3
11;74.0678;0
11;62.9145;5
11;59.461;10
11;74.4885;2
11;99.8556;1
11;316.471;3
11;42.7112;3
11;146.966;0
11;78.5982;4
11;86.0649;2
11;56.4166;8
11;45.3361;5
11;179.38;4
11;927.765;2
11;55.1294;3
12;285.387;4
12;45.1846;1
12;140.949;5
12;96.1586;6
12;67.3423;4
12;74.4947;3
12;201.959;3
12;63.935;5
12;50.9268;9
12;132.607;3
12;45.608;0
12;199.839;0
12;1091.86;1
12;102.653;7
12;379.393;4
12;457.83;2
12;58.1683;3
12;104.429;2
12;51.91;2
12;65.4232;6
12;147.072;1
12;71.1571;8
12;161.881;4
12;215.17;3
12;2421.63;8
12;548.308;3
12;46.8643;2
12;50.3166;6
12;642.07;5
12;54.181;3
12;109.379;5
12;59.324;3
12;207.275;3
12;48.5786;12
12;114.523;5
12;60.2199;3
12;76.0542;1
12;1362.75;5
12;288.266;5
12;89.0639;7
12;47.8195;4
12;53.7067;3
12;100.19;2
12;65.7126;2
12;97.4568;7
12;143.823;4
12;55.3332;5
12;52.7224;4
12;117.635;1
12;84.2426;3
12;87.1909;2
12;55.7605;4
12;53.7144;3
12;908.258;0
12;718.891;4
12;53.3466;5
12;119.687;6
12;158.081;2
12;1602.12;3
12;54.6822;6
12;63.1801;6
12;62.0327;2
12;53.004;6
12;83.1175;10
12;707.167;5
12;199.098;0
12;291.134;4
12;383.724;6
12;55.0341;7
12;528.764;1
12;52.053;1
12;57.246;8
12;74.2791;4
12;66.1834;7
12;112.031;0
12;100.291;3
12;54.1697;5
12;619.678;3
12;398.765;5
12;307.555;1
12;66.6018;7
12;43.2816;1
12;1291.61;4
12;195.47;4
12;90.6211;3
12;232.653;7
12;66.8507;4
12;90.4957;5
12;69.7956;10
12;180.426;2
12;570.63;4
12;53.6877;7
12;403.766;2
12;50.5181;4
12;55.4437;4
12;231.022;6
12;72.7616;7
12;139.277;6
12;150.171;4
12;2729.29;4
13;3672.11;4
13;867.537;4
13;59.8996;4
13;97.0553;6
13;133.564;10
13;55.2709;3
13;60.0152;2
13;73.7292;6
13;58.6732;4
13;249.488;1
13;67.4525;3
13;67.5205;6
13;82.3666;4
13;159.29;4
13;1985.01;8
13;64.2923;4
13;53.6518;10
13;61.1752;5
13;370.658;5
13;579.867;3
13;261.871;4
13;93.4152;3
13;868.507;2
13;62.2669;4
13;60.4042;2
13;54.618;0
13;66.7704;4
13;47.4488;5
13;370.757;6
13;75.0745;6
13;282.886;1
13;130.721;5
13;67.9579;5
13;479.528;2
13;303.17;2
13;92.8213;6
13;548.672;3
13;213.572;3
13;69.0228;3
13;733.479;2
13;114.717;5
13;1263.79;0
13;125.024;1
13;74.6173;7
13;1341.8;4
13;308.229;3
13;248.97;1
13;656.249;4
13;1053.59;5
13;56.5209;2
13;61.6454;4
13;77.8798;5
13;243.52;4
13;93.5496;7
13;63.478;6
13;162.073;5
13;56.848;5
13;81.065;2
13;74.5686;10
13;56.1867;8
13;56.9606;8
13;9792.15;1
13;52.4175;1
13;49.0997;7
13;185.145;1
13;52.725;7
13;164.369;3
13;62.3093;2
13;89.7641;3
13;130.826;3
13;87.0716;8
13;63.1583;4
13;114.921;6
13;143.447;5
13;58.8235;2
13;66.5153;2
13;149.279;5
13;116.732;3
13;2403.16;5
13;302.55;3
13;236.672;2
13;179.459;1
13;94.4755;5
13;819.472;5
13;160.424;8
13;3139.21;6
13;174.534;1
13;871.931;1
13;249.908;3
13;1144.73;3
13;281.319;1
13;76.7544;1
13;185.39;3
13;94.135;2
13;156.57;6
13;58.7264;1
13;276.52;4
13;49.2367;8
13;100.193;7
13;137.399;4
14;208.279;8
14;207.544;3
14;441.034;0
14;7210.28;6
14;123.092;7
14;101.863;3
14;242.367;2
14;105.228;6
14;48.3861;3
14;74.2265;4
14;115.567;10
14;186.154;3
14;1362.31;3
14;61.7721;4
14;522.939;1
14;191.013;7
14;72.6409;7
14;240.057;11
14;48.6749;6
14;73.1124;7
14;72.0478;5
14;300.741;2
14;66.0607;4
14;972.154;4
14;199.148;3
14;58.7429;9
14;86.5127;7
14;54.7666;6
14;1288.06;3
14;152.525;6
14;58.3105;6
14;61.4237;7
14;53.1505;3
14;722.08;5
14;328.634;1
14;68.7409;7
14;42.6471;4
14;194.744;7
14;214.227;6
14;211.52;7
14;57.1686;3
14;92.0204;0
14;339.083;7
14;1117.69;1
14;142.836;5
14;1010.99;3
14;3742.07;0
14;79.0497;7
14;1057.69;2
14;65.6594;3
14;273.428;1
14;65.5845;6
14;73.9895;6
14;384.983;4
14;74.2583;3
14;1255.7;5
14;80.5718;7
14;185.603;9
14;487.822;6
