free choice net
n_places;milliseconds;valid_transitions
10;52.0046;9
10;91.8262;9
10;186.482;9
10;70.3499;5
10;57.6186;13
10;66.0521;9
10;112;4
10;55.6692;3
10;111.513;15
10;213.729;0
10;81.5311;1
10;55.1189;14
10;208.494;6
10;823.94;13
10;49.0436;6
10;92.937;2
10;55.2259;13
10;69.0503;0
10;97.7062;9
10;141.738;0
10;46.986;12
10;68.1307;0
10;81.8067;2
10;56.1799;1
10;46.9664;3
10;331.245;1
10;47.798;4
10;45.3829;11
10;60.621;12
10;68.7599;3
10;49.6604;10
10;47.0812;6
10;61.1728;5
10;80.7895;6
10;72.0875;7
10;55.4005;6
10;62.0116;0
10;52.978;6
10;79.6133;0
10;103.365;5
10;65.8145;0
10;48.174;5
10;48.9223;13
10;422.552;1
10;44.9837;2
10;62.0813;0
10;61.334;1
10;667.897;2
10;54.4469;0
10;127.801;1
10;157.918;4
10;35.717;14
10;1560.21;1
10;68.5423;5
10;55.5998;2
10;537.236;0
10;49.6838;3
10;179.308;3
10;1844.14;1
10;329.663;6
10;514.356;4
10;51.0819;16
10;51.9114;3
10;284.509;4
10;553.603;1
10;68.1004;0
10;114.664;0
10;60.6182;15
10;74.7907;8
10;65.1946;0
10;164.438;7
10;60.1558;10
10;69.067;12
10;49.4643;1
10;220.796;5
10;56.2809;0
10;66.8317;0
10;63.813;7
10;82.4602;1
10;158.548;11
10;66.0984;6
10;147.111;4
10;50.488;7
10;61.9064;1
10;55.5483;10
10;163.654;1
10;53.8598;2
10;45.0003;1
10;83.673;2
10;842.143;11
10;190.325;0
10;67.4213;6
10;63.0836;0
10;307.103;6
10;65.7194;1
10;807.662;2
10;53.1308;10
10;72.0608;8
10;142.932;2
10;171.813;6
11;43.0385;11
11;63.8942;18
11;215.346;1
11;73.2338;10
11;1280.53;11
11;315.19;3
11;99.6386;9
11;293.834;10
11;134.198;0
11;63.1377;8
11;205.453;6
11;71.6384;9
11;94.3261;9
11;254.153;2
11;57.8165;13
11;62.0307;9
11;89.8658;12
11;63.2192;8
11;440.777;2
11;71.7292;4
11;2033.17;3
11;104.97;4
11;768.501;7
11;584.328;12
11;57.98;3
11;66.2427;3
11;131.085;8
11;91.1868;6
11;239.379;2
11;116.833;3
11;71.3543;6
11;83.5709;8
11;70.8097;4
11;72.2114;8
11;59.9108;4
11;75.2871;2
11;248.879;11
11;69.1659;10
11;75.097;4
11;76.8639;12
11;57.4102;13
11;389.865;4
11;88.457;8
11;63.0137;4
11;3250.26;6
11;303.482;6
11;68.0932;12
11;66.9924;9
11;64.3491;4
11;66.1557;13
11;41.5689;13
11;600.229;3
11;71.4436;2
11;68.6478;7
11;276.541;10
11;1980.08;3
11;77.2438;4
11;1222.33;3
11;60.5421;10
11;68.1883;1
11;52.5151;17
11;78.2824;3
11;50.3696;6
11;439.68;6
11;103.061;2
11;53.6694;6
11;2156.03;5
11;110.177;4
11;147.535;10
11;314.911;5
11;248.778;3
11;136.157;8
11;53.9223;4
11;60.8513;5
11;3975.63;2
11;133.012;6
11;57.0606;8
11;43.9712;10
11;56.1911;4
11;880.094;4
11;68.1009;6
11;56.0676;4
11;72.7663;6
11;81.3075;22
11;58.9384;4
11;135.039;6
11;52.4565;11
11;52.8016;9
11;48.433;6
11;190.743;9
11;1704.86;1
11;65.6333;9
11;60.1672;5
11;107.405;8
11;479.685;6
11;256.526;4
11;58.2289;11
11;315.692;9
11;441.875;2
11;62.0548;15
12;63.7258;19
12;47.2567;7
12;84.3638;4
12;131.185;7
12;71.9483;7
12;425.976;3
12;6764.65;1
12;326.822;3
12;54.1889;8
12;89.3719;12
12;49.8375;11
12;80.0611;0
12;60.273;26
12;2631.91;2
12;50.2963;25
12;623.563;0
12;62.0609;3
12;73.6599;0
12;331.515;4
12;76.1827;12
12;48.3805;22
12;59.2959;9
12;77.9901;8
12;180.842;5
12;463.46;9
12;1091.46;4
12;66.4711;13
12;179.458;0
12;106.464;11
12;69.6234;10
12;65.4351;1
12;445.588;2
12;58.9827;12
12;168;9
12;176.66;6
12;74.6635;11
12;67.6253;11
12;65.6431;8
12;83.789;16
12;241.693;9
12;48.7757;1
12;190.023;6
12;301.879;6
12;67.6015;3
12;1664.29;4
12;606.848;2
12;125.413;4
12;122.701;7
12;47.54;25
12;43.5241;1
12;2494.65;0
12;39.81;3
12;103.222;13
12;61.5404;12
12;68.251;5
12;48.7038;1
12;251.618;8
12;128.414;5
12;195.158;3
12;120.477;6
12;1803.41;6
12;112.581;4
12;52.3994;0
12;84.8039;2
12;102.389;17
12;792.963;5
12;508.002;8
12;48.3033;7
12;83.7009;14
12;1873.33;1
12;57.715;10
12;73.0359;2
12;108.43;12
12;1087.73;5
12;62.5589;14
12;256.768;11
12;433.697;2
12;76.3008;12
12;86.9208;1
12;70.6784;0
12;783.797;1
12;73.3248;0
12;51.0812;8
12;53.7345;22
12;274.112;1
12;46.9708;31
12;652.993;1
12;52.5559;27
12;440.318;15
12;239.422;3
12;58.5585;23
12;195.038;5
12;81.5732;8
12;1012.9;7
12;1056.84;1
12;58.7756;11
12;392.39;11
12;75.3141;3
12;162.266;7
12;52.4897;3
13;107.825;7
13;73.9587;10
13;595.521;3
13;66.9061;9
13;68.4823;10
13;150.685;5
13;509.115;6
13;729.363;3
13;70.0585;22
13;133.06;1
13;91.0957;2
